incident_no,day,time_on_twitter,projected_start,event_end,full_tweet,category,projected_start_prj,event_end_prj,true_event_start,true_event_end
87,2016/01/11,04:17,04:17,06:58,Traffic lights at Meerlust St & Old Paarl Rd in Oakglen are flashing. The department is attending.,traffic,1,,06:17,08:58
88,2016/01/11,04:29,04:29,05:43,Traffic lights at Plattekloof Rd / Rothschild Blvd & Olienhout Ave in Welgelegen are flashing. The department is attending.,traffic,1,,06:29,07:43
89,2016/01/11,04:34,04:34,05:42,Traffic lights at Durban Rd / Bela Rosa St in Durbanville are flashing. The department is attending.,traffic,1,,06:34,07:42
90,2016/01/11,06:45,06:45,08:45,"Fire at Scarborough Main Rd, Scarborough Main Rd has been closed at Red Hill Rd, Slangkop and Kommetjie Rd.",traffic,1,1,08:45,10:45
91,2016/01/11,08:04,08:04,10:52,Traffic lights at Amandel Rd / Sandalwood Rd in Kuils River are flashing. The department is attending.,traffic,1,,10:04,12:52
92,2016/01/11,12:18,12:18,13:22,"Road closure on the N7 northbound before Potsdam, due to veld fire. Use alternative route.",traffic,1,,14:18,15:22
93,2016/01/11,12:37,12:37,14:37,"Update: Road closure on the N7 north between Plattekloof and Potsdam, due to veld fire. Both directions affected, use alternative route.",traffic,1,1,14:37,16:37
94,2016/01/11,12:43,12:43,13:12,Traffic lights at Erica/Symphony are flashing. The department is attending to this.,traffic,1,,14:43,15:12
95,2016/01/11,13:12,13:12,14:41,Traffic lights at Montague/Dawn in Montague Gardens are flashing. The department is attending to this.,traffic,1,,15:12,16:41
96,2016/01/11,14:22,14:22,14:33,"Stationary vehicle on N2 outbound at airport approach. Center lane closed, expect delays.",traffic,1,,16:22,16:33
97,2016/01/11,14:58,14:58,16:58,"Fire at Scarborough Main Rd, Scarborough Main Rd has been closed at Red Hill Rd, Slangkop and Kommetjie Rd.",traffic,1,1,16:58,18:58
98,2016/01/11,15:59,15:59,17:37,"Crash on N1 outbound at Koeberg interchange. Ramp lane obstructed, expect delays.",traffic,1,,17:59,19:37
99,2016/01/12,04:17,04:17,06:12,Traffic lights at Koeberg Rd / Zastron Rd in Milnerton are flashing. The department is attending.,traffic,1,,06:17,08:12
100,2016/01/12,04:20,04:20,06:13,Traffic lights at Gert van Rooyen Ave / Giel Basson Dr in Welgelegen are flashing. The department is attending.,traffic,1,,06:20,08:13
101,2016/01/12,05:11,05:11,07:11,"Crash at the intersection of De La Rey and North Way in Ravensmead, right lane closed. Proceed with caution.",traffic,1,1,07:11,09:11
102,2016/01/12,12:50,12:50,14:31,Traffic lights at Koeberg / Racecourse in Montague Gardens are flashing. The department is attending.,traffic,1,,14:50,16:31
103,2016/01/12,12:56,12:56,13:54,Traffic lights at La Belle / Winelands in Stikland Industrial are flashing. The department is attending.,traffic,1,,14:56,15:54
104,2016/01/13,03:47,03:47,05:47,"Crash on the N7 northbound at the Wingfield interchange, two lanes closed. Proceed with caution.",traffic,1,1,05:47,07:47
105,2016/01/13,04:22,04:22,08:39,Traffic lights at Van Riebeeck Rd / Nooiensfontein Rd in Kuils River are all out. The department is attending.,traffic,1,,06:22,10:39
106,2016/01/13,04:55,04:55,05:22,Traffic lights at Plattekloof Rd / Rothschild Blvd / Olienhout Ave in Welgelegen are flashing. The department is attending.,traffic,1,,06:55,07:22
107,2016/01/13,05:19,05:19,07:19,"Crash on Jakes Gerwel north over the railway bridge, left lane closed. Proceed with caution.",traffic,1,1,07:19,09:19
108,2016/01/13,05:20,05:20,07:20,"Crash on Koeberg Rd south before Racecourse Rd, right lane closed. Proceed with caution.",traffic,1,1,07:20,09:20
109,2016/01/13,05:25,05:25,07:25,"Crash on N2 inbound after Jakes Gerwel, centre lane closed. Proceed with caution.",traffic,1,1,07:25,09:25
110,2016/01/13,05:39,05:39,06:43,Crash at Jakes Gerwel and the R300 intersection. Proceed with caution.,traffic,1,,07:39,08:43
111,2016/01/13,06:10,06:10,08:10,"Crash on N2 inbound at De Waal Drive, right lane closed. Proceed with caution.",traffic,1,1,08:10,10:10
112,2016/01/13,07:15,07:15,09:15,Traffic lights at Steve Biko / NY112 in Guguletu are flashing. The department is attending.,traffic,1,1,09:15,11:15
113,2016/01/13,09:53,09:53,10:42,Traffic lights at Door De Kraal Ave / Durban Rd in Kenever are flashing. The department is attending.,traffic,1,,11:53,12:42
114,2016/01/13,13:12,13:12,15:47,Ramp closure on the N2 outbound at Browning. Use alternative routes.,traffic,1,,15:12,17:47
115,2016/01/14,00:50,00:00,02:00,"There is currently an electrical fault affecting Schaapkraal, Boundary rd & surr as of 01:40. The department is currently attending to this",electric,,1,02:00,04:00
116,2016/01/14,02:35,06:30,14:00,"Planned electrical maintenance today in Gugulethu (NY11, NY126, NY140 & surrounds) from 08:30 ? 16:00. Contact 0860 103 089 for more info",electric,,,08:30,16:00
117,2016/01/14,02:36,06:30,14:00,Planned electrical maintenance today in Belgravia Estate (1st avenue & surrounds) from 08:30 ? 16:00. Contact 0860 103 089 for more info,electric,,,08:30,16:00
118,2016/01/14,02:37,06:00,14:00,Planned electrical maintenance today in Kenilworth (Kenilworth Racecourse) from 08:00 ? 16:00. Contact 0860 103 089 for more info,electric,,,08:00,16:00
119,2016/01/14,04:50,04:50,05:50,Traffic lights at De Bron / Azalea in Brackenfell are flashing. The department is attending.,traffic,1,,06:50,07:50
120,2016/01/14,05:04,05:04,11:03,Traffic lights at Gordons Bay Drive / Beach in Strand are flashing. The department is attending.,traffic,1,,07:04,13:03
121,2016/01/14,05:11,05:11,07:11,"Crash on the N2 inbound at Liesbeeck Park Way, two lanes closed. Proceed with caution.",traffic,1,1,07:11,09:11
122,2016/01/14,05:33,05:33,07:33,"Crash on N2 inbound at Raapenberg, left lane closed. Proceed with caution.",traffic,1,1,07:33,09:33
123,2016/01/14,05:38,05:38,07:38,"Crash on New Eisleben between Miller and Borchards Quarry. Lanes closed in both directions, use alternative route.",traffic,1,1,07:38,09:38
124,2016/01/14,06:48,06:48,08:48,"Crash at Adderley St and Strand St in the CBD, left lane south and left lane east bound obstructed. Proceed with caution.",traffic,1,1,08:48,10:48
125,2016/01/14,06:52,06:52,08:52,"Crash at Strand Rd / De La Hey Ave in Thalmen, both right lanes east and west bound obstructed. Proceed with caution.",traffic,1,1,08:52,10:52
126,2016/01/14,06:56,06:56,08:56,"Crash on the N2 inbound before Borcherds Quarry Rd, right lane closed. Proceed with caution.",traffic,1,1,08:56,10:56
127,2016/01/14,14:29,14:29,15:15,"Stationary vehicle on the N1 outbound at Plattekloof. Left lane closed, expect delays.",traffic,1,,16:29,17:15
128,2016/01/14,14:57,14:57,15:24,Traffic lights at Erica/Symphony are flashing. The department is attending to this.,traffic,1,,16:57,17:24
129,2016/01/15,02:35,06:30,14:00,"Planned electrical maintenance today in Rondebosch East, 4th avenue & surrounds from 08:30 ? 16:00. Contact 0860 103 089 for more info",electric,,,08:30,16:00
130,2016/01/15,02:36,06:30,14:00,"Planned electrical maintenance today in Constantia, Cumberland road & surrounds from 08:00 ? 16:00. Contact 0860 103 089 for more info",electric,,,08:30,16:00
131,2016/01/15,04:07,04:07,05:26,Traffic lights at Main / Tokai in Dreyersdal are flashing. The department is attending.,traffic,1,,06:07,07:26
132,2016/01/15,04:09,04:09,04:52,Traffic lights at Voortrekker Rd / Halt Rd in Richmond Estate are all out. The department is attending.,traffic,1,,06:09,06:52
133,2016/01/15,04:15,04:15,04:37,Traffic lights at Frans Conradie Dr / Suikerbos St / Old Oak Rd in Eikenbosch are flashing. The department is attending.,traffic,1,,06:15,06:37
134,2016/01/15,04:19,04:19,06:04,Traffic lights at Constantia Main Rd & Alphen Hill Rd in Wynberg are flashing. The department is attending.,traffic,1,,06:19,08:04
135,2016/01/15,04:40,04:40,04:53,Traffic lights at Brackenfell Blvd / Frans Conradie Dr in Springbokpark are flashing. The department is attending.,traffic,1,,06:40,06:53
136,2016/01/15,04:42,04:42,06:42,"Crash on the N2 inbound at Jakes Gerwel, right lane closed. Proceed with caution.",traffic,1,1,06:42,08:42
137,2016/01/15,04:45,04:45,06:45,Crash on Strandfontein Rd in Ottery. Proceed with caution.,traffic,1,1,06:45,08:45
138,2016/01/15,05:30,05:30,07:30,Crash at the intersection of Victoria Rd and 5th Ave in Grassy Park. Proceed with caution.,traffic,1,1,07:30,09:30
139,2016/01/15,06:42,06:42,08:52,Traffic lights at Orange St / Breda St in Gardens are flashing. The department is attending.,traffic,1,,08:42,10:52
140,2016/01/15,07:06,07:06,09:18,"Crash on the N2 inbound before Raapenberg, centre lane closed. Proceed with caution.",traffic,1,,09:06,11:18
141,2016/01/15,07:24,07:24,08:01,Traffic lights at Duinefontein Rd / Jordan St in Manenberg are flashing. The department is attending.,traffic,1,,09:24,10:01
142,2016/01/15,10:54,10:54,11:04,Traffic lights at Main Rd / Atlantic Rd in Muizenberg are flashing. The department is attending.,traffic,1,,12:54,13:04
143,2016/01/15,10:56,10:56,11:34,"Stationary Vehicle on the N1 outbound before Plattekloof, centre lane closed. Proceed with caution.",traffic,1,,12:56,13:34
144,2016/01/15,10:58,11:33,13:33,"Crash on the N2 outbound at Victoria, right lane closed. Proceed with caution.",traffic,,1,13:33,15:33
145,2016/01/15,14:54,14:54,15:10,"Incident on the N2 inbound before airport approach. Two lanes closed, expect delays.",traffic,1,,16:54,17:10
146,2016/01/16,03:15,06:00,14:00,Planned electrical maintenance today in Epping (African Oxygen Consumer Complex) from 08:00 ? 16:00. Contact 0860 103 089 for more info,electric,,,08:00,16:00
147,2016/01/16,03:16,06:00,14:00,Planned electrical maintenance today in Maitland (Oil Products Consumer Complex) from 08:00 ? 16:00. Contact 0860 103 089 for more info,electric,,,08:00,16:00
148,2016/01/16,06:16,06:16,07:16,Traffic lights at Valhalla/Owen are flashing. The department is currently attending to this.,traffic,1,,08:16,09:16
149,2016/01/16,06:19,06:19,07:32,Traffic lights at Constantia/Brommersvlei in Constantia are flashing. The department is currently attending to this.,traffic,1,,08:19,09:32
150,2016/01/16,06:24,06:24,06:30,Traffic lights at Duinefontein/The Downs in Manenberg are out. The department is currently attending to this.,traffic,1,,08:24,08:30
151,2016/01/16,06:28,06:28,07:53,Traffic lights at Main/Lobelia in Somerset West are out. The department is currently attending to this.,traffic,1,,08:28,09:53
152,2016/01/16,09:39,09:39,10:45,Traffic lights at Bree/Riebeeck in the CBD are flashing. The department is currently attending to this.,traffic,1,,11:39,12:45
153,2016/01/16,23:48,23:48,01:48,"There is currently an electrical fault affecting Gardens, Rosmead avenue & surr. The department is currently attending to this.",electric,1,1,01:48,03:48
154,2016/01/17,02:08,02:08,02:00,The electrical fault in Gardens affecting Rosmead avenue has been resolved as of 04:00,electric,1,,04:08,04:00
155,2016/01/17,02:54,07:00,15:00,"Planned electrical maintenance today in Gardens, Canterbury Square substaion & surr from 09:00 ? 17:00. Contact 0860 103 089 for more info",electric,,,09:00,17:00
156,2016/01/17,02:56,04:30,10:30,"Planned electrical maintenance today in Bellville, Triangle Farm erf 21785 & erf 21786 from 06:30 ? 12:30 Contact 0860 103 089 for more info",electric,,,06:30,12:30
157,2016/01/17,02:56,07:00,11:00,"Planned electrical maintenance today in Cape Town, SA Mutual building from 09:00 ? 13:00. Contact 0860 103 089 for more info",electric,,,09:00,13:00
158,2016/01/18,02:24,02:00,04:00,"There is currently an electrical fault affecting the Plumstead area, Firfield Rd as of 04:00. The department is currently attending to this.",electric,,1,04:00,06:00
159,2016/01/18,02:25,04:00,16:00,"Planned electrical maintenance today in Plumstead, Carnarvon road & surrounds from 06:00 ? 18:00. Contact 0860 103 089 for more info",electric,,,06:00,18:00
160,2016/01/18,02:26,06:30,14:00,"Planned electrical maintenance today in Rondebosch, Firth road & surrounds from 08:30 ? 16:00. Contact 0860 103 089 for more info",electric,,,08:30,16:00
161,2016/01/18,02:27,07:00,14:00,Planned electrical maintenance today in Diep River/Bergvliet from 09:00 ? 16:00. Contact 0860 103 089 for more info,electric,,,09:00,16:00
162,2016/01/18,03:26,02:30,04:30,"There is currently an electrical fault affecting Philippi, Weltevreden Rd & surr as of 04:30. The department is currently attending to this.",electric,,1,04:30,06:30
163,2016/01/18,04:54,04:54,05:36,Traffic lights at Jip de Jager / Van Riebeeckshof are flashing. The department is attending.,traffic,1,,06:54,07:36
164,2016/01/18,04:59,04:59,06:59,Saps incident on Prince George Drive after Hyde Rd in Parkwood. Left lane obstructed (Direction Muizenberg).,traffic,1,1,06:59,08:59
165,2016/01/18,05:34,05:34,07:34,Truck broken down on Koeberg Rd before Coronation in Maitland. Left lane obstructed (Direction Salt River).,traffic,1,1,07:34,09:34
166,2016/01/18,06:17,06:17,08:17,Crash on the Link from the R300 onto N2 inbound. Right lane obstructed.,traffic,1,1,08:17,10:17
167,2016/01/18,07:15,07:15,07:31,"Traffic lights at Frans Conradie / Hugo in Richmond Estate, are flashing. The department is attending.",traffic,1,,09:15,09:31
168,2016/01/18,08:37,08:37,10:37,Traffic lights at Durban / Bella Rosa in Rosenpark are flashing. The department is attending to the matter.,traffic,1,1,10:37,12:37
169,2016/01/18,11:52,09:24,11:52,Traffic lights at R300 / Stellenbosch Arterial in Blue Downs have been repaired.,traffic,,,11:24,13:52
170,2016/01/18,09:47,09:47,11:17,Traffic lights at Edinburgh / Upper Hillwood in Claremont are flashing. The department is attending to the matter.,traffic,1,,11:47,13:17
171,2016/01/18,10:28,10:28,12:28,"There is a water outage in Arries road, Ocean View, which could also be affecting the surrounds. The department is attending to this.",water,1,1,12:28,14:28
172,2016/01/18,10:29,10:29,12:29,"There is a water outage in Maynard Road, Wynberg, which could also be affecting the surrounds. The department is attending to this.",water,1,1,12:29,14:29
173,2016/01/18,10:30,10:30,12:30,"There is a water outage in Lester road, Rondebosch, which could also be affecting the surrounds. The department is attending to this.",water,1,1,12:30,14:30
174,2016/01/18,10:31,10:31,12:31,"There is a water outage in Nursary way, Pinelands, which could also be affecting the surrounds. The department is attending to this.",water,1,1,12:31,14:31
175,2016/01/18,10:32,10:32,12:32,"There is a water outage in Ashford road, Parklands, which could also be affecting the surrounds. The department is attending to this.",water,1,1,12:32,14:32
176,2016/01/18,10:32,10:32,12:32,"There is a water outage in Pinaster way, Northpine, which could also be affecting the surrounds. The department is attending to this.",water,1,1,12:32,14:32
177,2016/01/18,10:34,10:34,12:34,"Water outages in Berglelie and Bignonia roads, Atlantis, which could also be affecting the surrounds. The department is attending to this.",water,1,1,12:34,14:34
178,2016/01/18,10:36,10:36,12:36,"Water outages in Reservoir & Parel Vallei roads, Somerset West, which could affect the surrounds. The department is attending to this.",water,1,1,12:36,14:36
